carriageway_label,speed_limit,speed_differential,Speed_management,number_of_lanes,lane_width,quality_of_curve,median_type,skid_resistance,road_condition,vehicle_parking,roadworks,delineation,street_lighting,service_road,shoulder_rumble_strips,center_line_rumble_strips,paved_shoulder,intersection_type,intersection_quality,intersection_channelization,property_access_points,land_use,area_type,pedestrian_crossing_facilities,pedestrian_crossing_quality,pedestrian_fencing,sidewalk_provision,facilities_for_motorcycles,facilities_for_bicycles,school_zone_warning,school_zone_crossing_supervisor
3,11,1,1,4,2,3,7,1,1,1,1,1,2,1,1,1,3,12,3,1,4,3,2,7,3,1,7,6,4,4,3
3,11,1,1,4,2,3,7,1,1,1,1,1,2,1,1,1,3,16,1,1,3,3,2,7,3,1,7,6,4,4,3
3,11,1,1,3,2,3,7,1,1,1,1,1,2,1,1,1,4,12,3,1,1,4,2,7,3,1,7,6,4,4,3
3,11,1,1,4,3,3,11,1,1,3,1,1,2,1,1,1,1,12,3,1,3,6,2,7,3,1,7,6,4,2,2
3,11,1,1,1,2,3,11,1,1,3,1,1,2,1,1,1,1,12,3,1,4,3,2,7,3,1,7,6,4,4,3
3,5,1,1,4,2,3,11,1,1,3,1,1,2,1,1,1,2,12,3,1,3,3,2,7,3,1,7,6,4,3,3
1,11,1,1,3,3,3,7,1,2,1,1,1,2,1,1,1,3,4,1,2,4,4,2,7,3,1,7,6,4,4,3
1,11,1,1,3,2,3,1,2,2,1,1,1,2,1,1,1,3,12,3,1,4,4,2,7,3,1,7,6,4,4,3
3,11,1,1,5,2,3,14,1,1,3,1,1,2,1,1,1,3,9,1,2,4,4,2,7,3,2,1,6,3,4,3
1,11,1,1,4,3,3,1,1,1,1,1,1,2,2,1,1,3,12,3,1,4,1,1,1,3,1,5,6,4,4,3
